"run","date","duration","experiment","experiment_description","tags","GPU Memory (%)","GPU Power (W)","GPU Temperature (°C)","GPU (%)","CPU (%)","Disk (%)","Memory (%)","Process Memory (%)","eval_loss","kid","training_loss","hparams.T","hparams.device","hparams.num_epochs","hparams.save_freq","hparams.batch_size","hparams.dim","hparams.lr"
"world_flow_clsfg_20251203_152551","15:25:52 · 03 Dec, 25","3hrs 17min","world_flow","-","","24.24941","179.514","60","46","133.7","78","21.418783","3.225955","0.08864397","0.10185003","0.20006923","""-""","""cuda""","3000","10","16","256","0.0001"
"world_flow_base_20251201_170006","17:00:06 · 01 Dec, 25","3hrs 44min","world_flow","-","","18.696314","181.245","59","58","133.8","77.6","14.680763","3.224424","0.08879481","0.1027379","0.19712529","""-""","""cuda""","3000","10","16","256","0.0001"
"world_clsfg_20251130_005003","00:50:03 · 30 Nov, 25","7hrs 20min","world_model","-","","18.328652","182.166","59","59","160.4","77.2","14.455471","3.22908","0.00981739","0.12903643","0.06053831","400","""cuda""","6000","10","16","256","0.0001"
"world_clsfg_20251130_003450","00:34:50 · 30 Nov, 25","10min 19sec","world_model","-","","21.354676","329.108","63","100","104","76.4","18.417137","3.185839","0.01380585","0.21090698","0.07895221","400","""cuda""","6000","10","16","256","0.0001"
"world_filmcond_pre_20251129_203128","20:31:28 · 29 Nov, 25","3hrs 34min","world_model","-","","21.290303","180.267","58","59","133.1","76.4","18.32869","3.336634","0.00652742","0.10573339","0.04923979","400","""cuda""","3000","10","16","256","0.0001"
"world_filmcond_20251129_082151","08:21:51 · 29 Nov, 25","3hrs 35min","world_model","-","","18.321019","181.542","59","58","133.3","76.1","15.291157","3.315166","0.0073078","0.12794065","0.05049372","400","""cuda""","3000","10","16","256","0.0001"
"world_base_20251128_234048","23:40:48 · 28 Nov, 25","2hrs 2min","world_model","-","","21.786201","190.199","60","58","124.7","75.6","21.080298","3.274371","0.00710029","0.15744758","0.04049855","400","""cuda""","2000","10","16","256","0.0001"
"world_64_20251128_231157","23:11:57 · 28 Nov, 25","27min 34sec","world_model","-","","21.786456","189.086","60","60","110.9","75.4","21.172956","3.231753","0.00259485","0.07434011","0.0065096","400","""cuda""","2000","10","16","256","0.0001"
"world_base_20251128_223501","22:35:02 · 28 Nov, 25","32min 10sec","world_model","-","","21.786201","188.378","60","60","111.5","75.4","20.710966","3.253733","0.00080598","0.07906342","0.0019711","400","""cuda""","2000","10","16","256","0.0001"
"diffusion_16_depth6_20251128_220701","22:07:02 · 28 Nov, 25","25min 58sec","diffusion","-","","14.192518","215.92","62","65","106.1","75.3","16.762298","3.080097","0.00085916","0.10394955","0.0682582","400","""cuda""","2000","10","16","256","0.0001"
"diffusion_16_20251128_213039","21:30:39 · 28 Nov, 25","29min 45sec","diffusion","-","","13.419028","188.791","60","54","113.2","75.3","16.899503","3.085888","0.00133915","0.1652782","0.00491839","400","""cuda""","2000","10","16","256","0.0001"
"world_base_20251128_100507","10:05:07 · 28 Nov, 25","2hrs 2min","world_model","-","","18.52406","167.916","59","55","111.1","75.1","18.825866","3.30063","0.00698801","0.15370584","0.04043801","400","""cuda""","2000","10","16","256","0.0001"
"diffusion_autocast_20251128_090748","09:07:49 · 28 Nov, 25","58min 39sec","diffusion","-","","28.568484","230.996","63","92","106.4","74.9","21.15903","3.048396","0.01091585","0.17251754","0.09414758","400","""cuda""","2000","10","16","256","0.0001"
"world_base_20251128_005832","00:58:33 · 28 Nov, 25","5hrs 46min","world_model","-","","25.000763","442.477","75","100","100.1","74.8","14.103048","3.17483","0.0073656","NaN","0.02152554","400","""cuda""","2000","10","16","256","0.0001"
"diffusion_silu_20251127_210337","21:03:38 · 27 Nov, 25","1hrs 51min","diffusion","-","","13.329466","298.65","70","79","123.2","69.5","22.61159","2.6135","0.00893199","0.15948176","0.04704913","400","""cuda""","2000","10","16","256","0.0001"
"diffusion_dim256_20251127_133139","13:31:39 · 27 Nov, 25","4hrs 39min","diffusion","-","","13.329975","350.935","73","100","152.9","69.4","14.163181","2.625595","0.00831467","0.1735363","0.04765978","400","""cuda""","5000","10","16","256","0.0001"
"diffusion_film_rms_20251127_114820","11:48:20 · 27 Nov, 25","1hrs 28min","diffusion","-","","12.678106","202.112","60","58","133.9","69.1","15.866608","2.613311","0.00839219","0.17461729","0.04650852","400","""cuda""","2000","10","16","""-""","""-"""
"diffusion_rms_norm20251127_100630","10:06:30 · 27 Nov, 25","1hrs 26min","diffusion","-","","12.669964","191.811","60","50","134.9","69.1","15.661062","2.470253","0.01141271","0.18673444","0.03866655","400","""cuda""","2000","10","16","""-""","""-"""
"diffusion_20251127_000436","00:04:36 · 27 Nov, 25","6hrs 13min","diffusion","-","","12.596686","208.537","60","61","205.6","69.1","13.858497","2.667493","0.00947885","0.17849731","0.07337943","400","""cuda""","10000","10","16","""-""","""-"""
"diffusion_20251126_215455","21:54:55 · 26 Nov, 25","1hrs 36min","diffusion","-","","12.69439","185.206","60","56","127.8","68.9","15.878281","2.60589","0.01064246","0.19581175","0.0681166","400","""cuda""","2000","10","16","""-""","""-"""
"diffusion_20251126_200614","20:06:14 · 26 Nov, 25","48min 36sec","diffusion","-","","13.720282","414.555","72","100","107","68.8","15.18021","2.484039","0.01191081","0.20490742","0.04263122","400","""cuda""","2000","10","64","""-""","""-"""
"diffusion_20251126_184432","18:44:32 · 26 Nov, 25","1hrs 16min","diffusion","-","","12.590071","206.119","61","54","148.3","68.8","14.886705","2.456682","0.01134566","0.18565559","0.03865471","400","""cuda""","2000","10","""-""","""-""","""-"""
"diffusion_20251126_111833","11:18:33 · 26 Nov, 25","3hrs 18min","diffusion","-","","6.001669","212.562","63","66","171.5","68.4","14.728392","2.113968","0.00730192","-","0.04709512","400","""cuda""","6000","10","""-""","""-""","""-"""
"diffusion_20251126_103608","10:36:08 · 26 Nov, 25","3min 17sec","diffusion","-","","7.985517","221.057","62","62","113.1","68.2","15.686826","1.955106","-","-","0.08980443","400","""cuda""","100","10","""-""","""-""","""-"""
